product_id,product_name,product_code,category,unit,standard_lead_time,minimum_order_quantity,required_materials,description,status,created_at,updated_at
1,スマートフォンケース,PRD001,電子機器アクセサリー,個,7,100,プラスチック・シリコン,耐衝撃性スマートフォンケース,有効,2023-01-12 10:00:00,2023-01-12 10:00:00
2,自動車エンジン部品,PRD002,自動車部品,個,14,50,鉄・アルミニウム,高性能エンジン用ピストン,有効,2023-01-12 10:30:00,2023-01-12 10:30:00
3,産業用洗剤,PRD003,化学製品,リットル,5,500,界面活性剤・溶剤,工業用強力洗浄剤,有効,2023-01-12 11:00:00,2023-01-12 11:00:00
4,半導体チップ,PRD004,半導体,個,21,20,シリコンウエハー・金属,高速処理用マイクロプロセッサ,有効,2023-01-12 11:30:00,2023-01-12 11:30:00
5,健康飲料,PRD005,食品,本,3,1000,果汁・ビタミン・水,栄養補給ドリンク,有効,2023-01-13 09:00:00,2023-01-13 09:00:00
6,プラスチック容器,PRD006,プラスチック製品,個,10,200,ポリプロピレン,食品保存用密閉容器,有効,2023-01-13 09:30:00,2023-01-13 09:30:00
7,LED電球,PRD007,電子機器,個,12,100,LED・プラスチック・金属,省電力LED照明器具,有効,2023-01-13 10:00:00,2023-01-13 10:00:00
8,医薬品カプセル,PRD008,医薬品,個,30,500,有効成分・カプセル材料,感冒薬カプセル,有効,2023-01-13 10:30:00,2023-01-13 10:30:00
9,金属フレーム,PRD009,金属製品,個,18,25,アルミニウム・ステンレス,産業機械用構造フレーム,有効,2023-01-14 08:00:00,2023-01-14 08:00:00
10,化粧品容器,PRD010,プラスチック製品,個,8,300,PET・ガラス,高級化粧品用ボトル,有効,2023-01-14 08:30:00,2023-01-14 08:30:00